PeopleName,pronunciation,Country,Population,Language,Religion,Latitude,Longitude,Global Status of  Evangelical Christianity,Evangelical Engagement,Physical Exertion,Freedom Index,Government Restrictions Index,Social Hostilities Index,Threat Level,ROP1,ROP2,ROP3,People Name,GENC,FIPS,FIPS of Origin,Unnamed: 21,Unnamed: 22,IMB Affinity Group,Not Engaged Anywhere,SPI,Strategic Priority Index,Population Layer,Indigenous,ISOalpha3,
Adyghe,ady-ghe,Iraq,44000,Adyghe,Islam - Sunni,33.365478,44.399184,1,Unengaged,Strenuous,Not Free,High,Very High,Level 4: Do Not Travel,A003,C0061,100079,Adyghe,IRQ,IZ,RS,,,Central Asian Peoples,,0,Unengaged and Unreached,"""10","000+""",Diaspora,IRQ,adyghe
Adyghe,ady-ghe,Israel,8000,Adyghe,Islam - Sunni,32.721,35.441,1,Unengaged,Little,Free,High,Very High,Other,A003,C0061,100079,Adyghe,ISR,IS,RS,,,Central Asian Peoples,,0,Unengaged and Unreached,"""<10","000""",Diaspora,ISR,adyghe
Adyghe,ady-ghe,Syria,28000,Adyghe,Islam - Sunni,32.520944,36.479919,1,Unengaged,Strenuous,Not Free,Very High,Very High,Level 4: Do Not Travel,A003,C0061,100079,Adyghe,SYR,SY,RS,,,Central Asian Peoples,,0,Unengaged and Unreached,"""10","000+""",Diaspora,SYR,adyghe
Adyghe,ady-ghe,United States,6700,Adyghe,Islam - Sunni,43.058449,-76.145707,1,Unengaged,Little,Free,Moderate,High,Caution,A003,C0061,100079,Adyghe,USA,US,RS,,,Central Asian Peoples,,0,Unengaged and Unreached,"""<10","000""",Diaspora,USA,adyghe
Afar,afar,Eritrea,340000,Afar,Islam - Sunni,14.148039,41.08567,1,Unengaged,Extreme,Not Free,Very High,Low,Level 2: Exercise Increased Caution,A004,C0005,102419,Afar,ERI,ER,ET,,,Northern African and Middle Eastern Peoples,,0,Unengaged and Unreached,"""100","000+""",Indigenous,ERI,afar
Afitti,afi-tti,Sudan,5400,Afitti,Islam - Sunni,12.44598,30.76112,1,Unengaged,Strenuous,Not Free,High,Moderate,Level 4: Do Not Travel,A013,C0156,100090,Afitti,SDN,SU,,,,Northern African and Middle Eastern Peoples,Yes,0,Unengaged and Unreached,"""<10","000""",Indigenous,SDN,afitti
Afrikaner,afri-kane-r,United Kingdom,66000,Afrikaans,Christianity - Non-Evangelical Protestant,51.37688,-0.142373,1,Unengaged,Little,Free,Moderate,High,Level 2: Exercise Increased Caution,A003,C0079,100093,Afrikaner,GBR,UK,SF,,,Sub-Saharan African Peoples,,0,Unengaged and Unreached,"""50","000+""",Diaspora,GBR,afri-kaner
Afrikaner,afri-kane-r,Zambia,81000,Afrikaans,Christianity - Neo-Pentecostalism,-15.3652,28.3146,1,Unengaged,Strenuous,Partly Free,Moderate,Moderate,Level 1: Exercise Normal Precautions,A003,C0079,100093,Afrikaner,ZMB,ZA,SF,,,Sub-Saharan African Peoples,,0,Unengaged and Unreached,"""50","000+""",Diaspora,ZMB,afri-kaner
Afro-Argentine,afro--ar-gen-tine,Argentina,151000,Spanish,Christianity - Folk Catholicism,-34.636105,-58.482237,6,Unengaged,Low,Free,Low,Moderate,Level 1: Exercise Normal Precautions,A007,C0253,115011,Afro-Argentine,ARG,AR,,,,American Peoples,Yes,2,No Longer Unreached,"""100","000+""",Indigenous,ARG,afro-ar-gentine
Afro-Bolivian,afro--bo-livee--uh-n,Bolivia,125000,Spanish,Ethnoreligion,-16.2708,-67.6364,4,Unengaged,Medium,Partly Free,Low,High,Level 2: Exercise Increased Caution,A007,C0253,115012,Afro-Bolivian,BOL,BL,,,,American Peoples,Yes,2,No Longer Unreached,"""100","000+""",Indigenous,BOL,afro-b-olivian
Afro-Grenadian,afro--gre-nadee--uh-n,Canada,19000,Grenadian English Creole,Christianity - Roman Catholicism,43.65792,-79.324609,5,Unengaged,,,,,,A009,C0254,115126,Afro-Grenadian,CAN,CA,,,,American Peoples,,2,No Longer Unreached,"""10","000+""",Diaspora,CAN,afro-gr-enadian
Afro-Grenadian,afro--gre-nadee--uh-n,United States,12000,Grenadian English Creole,Christianity - Roman Catholicism,40.82914,-73.914,5,Unengaged,Little,Free,Moderate,High,Caution,A009,C0254,115126,Afro-Grenadian,USA,US,,,,American Peoples,Yes,2,No Longer Unreached,"""10","000+""",Diaspora,USA,afro-gr-enadian
Afro-Guyanese,afro--gu-yanee-z,Canada,89000,Guyanese English Creole,Christianity - Evangelical Protestant,43.653226,-79.383184,6,Unengaged,,,,,,A007,C0337,103602,Afro-Guyanese,CAN,CA,,,,American Peoples,,2,No Longer Unreached,"""50","000+""",Diaspora,CAN,afro-g-uyanese
Afro-Kittitian,afro--ki-tti-tee--uh-n,Saint Kitts and Nevis,45500,Virgin Islands English Creole,Christianity - Non-Evangelical Protestant,17.2961,-62.7246,6,Unengaged,Medium,Free,Low,Low,Level 1: Exercise Normal Precautions,A009,C0254,106882,"""Antiguan"," mixed""",KNA,SC,,,,American Peoples,Yes,2,No Longer Unreached,"""10","000+""",Indigenous,KNA,afro-ki-ttitian
Afro-Trinidadian,afro--tri-nida-dee--uh-n,Trinidad and Tobago,719000,English,Christianity - Non-Evangelical Protestant,10.667479,-61.508156,6,Unengaged,Medium,Free,Low,Moderate,Level 3: Reconsider Travel,A007,C0337,110196,Afro-Trinidadian,TTO,TD,,,,American Peoples,,2,No Longer Unreached,"""100","000+""",Indigenous,TTO,afro-tri-nidadian
Afshari,afs-hari,Afghanistan,13500,South Azerbaijani,Islam - Sunni,34.5074,69.225,1,Unengaged,Strenuous,Not Free,Very High,High,Level 4: Do Not Travel,A015,C0028,100096,Afshari,AFG,AF,IR,,,Central Asian Peoples,Yes,0,Unengaged and Unreached,"""10","000+""",Diaspora,AFG,afsh--ari
Afshari,afs-hari,Iran,397000,South Azerbaijani,Islam - Shia,36.2051,49.1921,1,Unengaged,Medium,Not Free,Very High,Moderate,Level 4: Do Not Travel,A015,C0028,100096,Afshari,IRN,IR,,,,Central Asian Peoples,Yes,0,Unengaged and Unreached,"""100","000+""",Indigenous,IRN,afsh--ari
Agaria,aga-ria,India,24500,Kacchi,Islam - Sunni,23.242725,69.672364,1,Unengaged,Strenuous,Partly Free,High,Very High,Level 2: Exercise Increased Caution,A012,C0148,111277,"""Agaria"," Muslim""",IND,IN,,,,South Asian Peoples,Yes,0,Unengaged and Unreached,"""10","000+""",Indigenous,IND,agaria
Agasa,agasa,India,632000,Tulu,Hinduism,13.118613,75.227312,1,Unengaged,Strenuous,Partly Free,High,Very High,Level 2: Exercise Increased Caution,A012,C0311,117728,Agasa,IND,IN,,,,South Asian Peoples,Yes,0,Unengaged and Unreached,"""100","000+""",Indigenous,IND,agasa
Agoi,agoi,Nigeria,24500,Agoi,Christianity - Non-Evangelical Protestant,5.87953,8.21629,5,Unengaged,Strenuous,Partly Free,High,Very High,Level 3: Reconsider Travel,A013,C0044,100115,Agoi (Ibami),NGA,NI,,,,Sub-Saharan African Peoples,Yes,2,No Longer Unreached,"""10","000+""",Indigenous,NGA,agoi
Agri,agri,India,68500,Marathi,Hinduism,23.595,72.963,1,Unengaged,Strenuous,Partly Free,High,Very High,Level 2: Exercise Increased Caution,A012,C0311,111284,Agri,IND,IN,,,,South Asian Peoples,Yes,0,Unengaged and Unreached,"""50","000+""",Indigenous,IND,agri
Aguacatec,agua-cate-c,United States,1300,Awakateko,Christianity - Roman Catholicism,36.11792,-79.43084,4,Unengaged,Little,Free,Moderate,High,Caution,A007,C0165,100122,Aguacatec,USA,US,,,,American Peoples,,2,No Longer Unreached,"""<10","000""",Diaspora,USA,agua-catec
Agul,agul,Russian Federation,29000,Aghul,Islam - Sunni,41.782,47.594,1,Unengaged,Low,Not Free,Very High,Very High,Level 4: Do Not Travel,A003,C0061,100126,Agul,RUS,RS,,,,Central Asian Peoples,Yes,0,Unengaged and Unreached,"""10","000+""",Indigenous,RUS,agul
Aguru,aguru,India,19500,Telugu,Hinduism,18.396608,83.336189,1,Unengaged,Strenuous,Partly Free,High,Very High,Level 2: Exercise Increased Caution,A012,C0311,117773,Aguru,IND,IN,,,,South Asian Peoples,Yes,0,Unengaged and Unreached,"""10","000+""",Indigenous,IND,aguru
Agwagwune,agwa-gwu-ne,Nigeria,44000,Agwagwune,Christianity - Non-Evangelical Protestant,5.8371,8.0046,4,Unengaged,Strenuous,Partly Free,High,Very High,Level 3: Reconsider Travel,A013,C0044,100131,Agwagwune,NGA,NI,,,,Sub-Saharan African Peoples,Yes,2,No Longer Unreached,"""10","000+""",Indigenous,NGA,agwa-gwune
Aheu,aheu,Laos,2600,Aheu,Ethnoreligion - Animism,18.2084,104.9801,1,Unengaged,Strenuous,Not Free,High,Moderate,Level 2: Exercise Increased Caution,A011,C0147,105894,Aheu,LAO,LA,,,,Asian Pacific Rim Peoples,Yes,0,Unengaged and Unreached,"""<10","000""",Indigenous,LAO,aheu
Ahmadiya,ahma-diya,India,6900,Urdu,Islam - Sunni,29.6945,77.6738,1,Unengaged,Strenuous,Partly Free,High,Very High,Level 2: Exercise Increased Caution,A012,C0321,100142,Ahmadi,IND,IN,,,,South Asian Peoples,Yes,0,Unengaged and Unreached,"""<10","000""",Indigenous,IND,ahma-diya
"""Ahtena",ahte-na,,United States,650,English,Christianity - Non-Evangelical Protestant,61.70684,-144.88894,4,Unengaged,Little,Free,Moderate,High,Caution,A009,C0154,100144,Ahtena,USA,US,,,,American Peoples,Yes,2,No Longer Unreached,"""<10","000""",Indigenous,USA,ahtena copper river
Ai-Cham,ai--cha-m,China,4200,Ai-Cham,Ethnoreligion - Chinese Folk Religion,25.454,107.8195,0,Unengaged,Medium,Not Free,Very High,Low,Other,A011,C0054,100146,Ai-Cham,CHN,CH,,,,Asian Pacific Rim Peoples,Yes,0,Unengaged and Unreached,"""<10","000""",Indigenous,CHN,ai-c-h-am
Ainu,ainu,China,10500,Ainu,Islam - Sunni,38.930205,76.169596,0,Unengaged,Medium,Not Free,Very High,Low,Other,A015,C0223,100665,Aynu,CHN,CH,,,,Asian Pacific Rim Peoples,Yes,0,Unengaged and Unreached,"""10","000+""",Indigenous,CHN,ainu
Ainu,ainu,Japan,13000,Japanese,Ethnoreligion - Animism,42.58505848,142.1285463,1,Unengaged,Little,Free,Low,Moderate,Level 1: Exercise Normal Precautions,A015,C0223,100158,Ainu,JPN,JA,,,,Asian Pacific Rim Peoples,Yes,0,Unengaged and Unreached,"""10","000+""",Indigenous,JPN,ainu
Airoran,airo-ran,Indonesia,1400,Airoran,Christianity - Non-Evangelical Protestant,-1.8522,138.15778,6,Unengaged,Medium,Partly Free,Very High,High,Level 2: Exercise Increased Caution,A010,C0152,100163,Airoran,IDN,ID,,,,Asian Pacific Rim Peoples,Yes,2,No Longer Unreached,"""<10","000""",Indigenous,IDN,air-oran
Aiton,aiton,India,3900,Aiton,Buddhism - Theravada,26.276314,93.897383,1,Unengaged,Strenuous,Partly Free,High,Very High,Level 2: Exercise Increased Caution,A012,C0282,111299,Aiton,IND,IN,,,,South Asian Peoples,Yes,0,Unengaged and Unreached,"""<10","000""",Indigenous,IND,aiton
Aiyarakulu,aiya-raku-lu,India,671000,Telugu,Hinduism,18.435128,84.019536,2,Unengaged,Strenuous,Partly Free,High,Very High,Level 2: Exercise Increased Caution,A012,C0311,111391,Aiyarakulu,IND,IN,,,,South Asian Peoples,Yes,0,Unengaged and Unreached,"""100","000+""",Indigenous,IND,aiyar-akulu
Ak,ak,Papua New Guinea,275,Muno,Ethnoreligion - Animism,-3.594,141.772,4,Unengaged,Strenuous,Partly Free,Low,Moderate,Level 3: Reconsider Travel,A010,C0152,100176,Ak,PNG,PP,,,,Asian Pacific Rim Peoples,Yes,2,No Longer Unreached,"""<10","000""",Indigenous,PNG,ak
Akan,akan,Canada,26500,Akan,Ethnoreligion,43.8061,-79.1976,4,Unengaged,Little,Free,Low,Moderate,Level 1: Exercise Normal Precautions,A013,C0085,100179,Akan,CAN,CA,,,,Sub-Saharan African Peoples,,2,No Longer Unreached,"""10","000+""",Diaspora,CAN,akan
Akan,akan,United Kingdom,27500,Akan,Christianity - Non-Evangelical Protestant,51.563715,-0.138661,1,Unengaged,Little,Free,Moderate,High,Level 2: Exercise Increased Caution,A013,C0085,100179,Akan,GBR,UK,GH,,,Sub-Saharan African Peoples,,0,Unengaged and Unreached,"""10","000+""",Diaspora,GBR,akan
Akaselem,aka-sele-m,Togo,78500,Akaselem,Islam - Folk,9.0329,1.4184,1,Unengaged,Strenuous,Partly Free,Low,Low,Level 1: Exercise Normal Precautions,A013,C0087,101992,"""Akaselem"," Chamba""",TGO,TO,,,,Sub-Saharan African Peoples,Yes,0,Unengaged and Unreached,"""50","000+""",Indigenous,TGO,akas-elem
Ake,ake,China,1300,Biyo,Ethnoreligion - Chinese Folk Religion,22.1678,100.4949,1,Unengaged,Medium,Not Free,Very High,Low,Other,A014,C0229,114852,Akeu,CHN,CH,LA,,,Asian Pacific Rim Peoples,Yes,0,Unengaged and Unreached,"""<10","000""",Indigenous,CHN,ake
Akeu,akeu,Laos,3000,Biyo,Ethnoreligion,22.438383,101.74632,1,Unengaged,Strenuous,Not Free,High,Moderate,Level 2: Exercise Increased Caution,A014,C0229,114852,Akeu,LAO,LA,,,,Asian Pacific Rim Peoples,Yes,0,Unengaged and Unreached,"""<10","000""",Diaspora,LAO,akeu
Akha,akha,Thailand,57500,Akha,Ethnoreligion,20.14444,99.67492,6,Unengaged,Medium,Partly Free,Moderate,High,Level 1: Exercise Normal Precautions,A014,C0089,100185,Akha,THA,TH,CH,,,Asian Pacific Rim Peoples,,2,No Longer Unreached,"""50","000+""",Indigenous,THA,akha
"""Akha",akha,,Laos,113000,Akha,Ethnoreligion - Animism,21.329851,102.163259,1,Unengaged,Strenuous,Not Free,High,Moderate,Level 2: Exercise Increased Caution,A014,C0089,100185,Akha,LAO,LA,,,,Asian Pacific Rim Peoples,,0,Unengaged and Unreached,"""100","000+""",Indigenous,LAO,akha pouly
Akhdam,akh-dam,Yemen,1780000,Ta’izzi-Adeni Arabic,Islam - Sunni,15.380277,44.229043,1,Unengaged,Extreme,Not Free,Very High,High,Level 4: Do Not Travel,A001,C0020,117014,"""Muhamasheen"," Akhdam""",YEM,YM,,,,Northern African and Middle Eastern Peoples,Yes,0,Unengaged and Unreached,"""1",000,"000+""",Indigenous,YEM,akhdam
Akhwakh,akh-wak-h,Russian Federation,6500,Akhvakh,Islam - Sunni,42.40035,46.30369,1,Unengaged,Low,Not Free,Very High,Very High,Level 4: Do Not Travel,A003,C0061,100187,Akhvakh,RUS,RS,,,,Central Asian Peoples,Yes,0,Unengaged and Unreached,"""<10","000""",Indigenous,RUS,akh-wakh
Akkin,akkin,Russian Federation,44000,Chechen,Islam - Sunni,43.095304,45.536548,1,Unengaged,Low,Not Free,Very High,Very High,Level 4: Do Not Travel,A003,C0061,116039,Akkin,RUS,RS,,,,Central Asian Peoples,Yes,0,Unengaged and Unreached,"""10","000+""",Indigenous,RUS,akkin
Akpes,akpes,Nigeria,22000,Akpes,Ethnoreligion - Animism,7.612468,5.861216,4,Unengaged,Strenuous,Partly Free,High,Very High,Level 3: Reconsider Travel,A013,C0233,100193,Akpes,NGA,NI,,,,Sub-Saharan African Peoples,Yes,2,No Longer Unreached,"""10","000+""",Indigenous,NGA,akpes
Akpet,akpet,Nigeria,20500,Ukpet-Ehom,Christianity - Non-Evangelical Protestant,5.58316,8.10047,5,Unengaged,Strenuous,Partly Free,High,Very High,Level 3: Reconsider Travel,A013,C0044,100194,Akpet-Ehom,NGA,NI,,,,Sub-Saharan African Peoples,Yes,2,No Longer Unreached,"""10","000+""",Indigenous,NGA,akpet
Akrukay,akru-kay,Papua New Guinea,550,Chini,Christianity - Roman Catholicism,-4.894,144.835,1,Unengaged,Strenuous,Partly Free,Low,Moderate,Level 3: Reconsider Travel,A010,C0152,100195,Akrukay,PNG,PP,,,,Asian Pacific Rim Peoples,Yes,0,Unengaged and Unreached,"""<10","000""",Indigenous,PNG,akr-ukay
Akto Turkmen,akto tur-kme-n,China,5200,Uyghur,Islam - Sunni,39.153385,75.938288,1,Unengaged,Medium,Not Free,Very High,Low,Other,A015,C0110,113982,"""Turkmen"," Akto""",CHN,CH,,,,Central Asian Peoples,Yes,0,Unengaged and Unreached,"""<10","000""",Indigenous,CHN,akto tur-kmen
Aku,aku,Gambia,19500,Krio,Christianity - Non-Evangelical Protestant,13.662,-15.057,4,Unengaged,Extreme,Partly Free,Low,Moderate,Level 2: Exercise Increased Caution,A013,C0173,116261,Aku,GMB,GA,,,,Sub-Saharan African Peoples,,2,No Longer Unreached,"""10","000+""",Diaspora,GMB,aku
Akurio,aku-rio,Brazil,40,Trió,Ethnoreligion,-1.75,-55.833333,1,Unengaged,Medium,Free,Low,Moderate,Level 2: Exercise Increased Caution,A007,C0201,100197,Akuliyo,BRA,BR,NS,,,American Peoples,,0,Unengaged and Unreached,"""<10","000""",Diaspora,BRA,akurio
Alabama,ala-bama,United States,800,English,Christianity - Non-Evangelical Protestant,30.76738,-94.62848,4,Unengaged,Little,Free,Moderate,High,Caution,A009,C0154,100205,Alabama-Coushatta,USA,US,,,,American Peoples,Yes,2,No Longer Unreached,"""<10","000""",Indigenous,USA,ala-bama
Alago,alago,Nigeria,120000,Alago,Ethnoreligion - Animism,8.34986,8.52085,4,Unengaged,Strenuous,Partly Free,High,Very High,Level 3: Reconsider Travel,A013,C0044,100209,Alago,NGA,NI,,,,Sub-Saharan African Peoples,Yes,2,No Longer Unreached,"""100","000+""",Indigenous,NGA,alago
Alak,alak,Laos,25500,Alak,Ethnoreligion - Animism,15.5565,106.59719,1,Unengaged,Strenuous,Not Free,High,Moderate,Level 2: Exercise Increased Caution,A011,C0147,100212,Alak,LAO,LA,,,,Asian Pacific Rim Peoples,Yes,0,Unengaged and Unreached,"""10","000+""",Indigenous,LAO,alak
Alas,alas,Indonesia,265000,Batak Alas-Kluet,Islam - Sunni,3.448098,97.831208,1,Unengaged,Medium,Partly Free,Very High,High,Level 2: Exercise Increased Caution,A008,C0002,100215,Alas,IDN,ID,,,,Asian Pacific Rim Peoples,Yes,0,Unengaged and Unreached,"""100","000+""",Indigenous,IDN,alas
Alavan,ala-van,India,9800,Tamil,Hinduism,8.32352,77.332442,1,Unengaged,Strenuous,Partly Free,High,Very High,Level 2: Exercise Increased Caution,A012,C0311,111309,Alavan,IND,IN,,,,South Asian Peoples,Yes,0,Unengaged and Unreached,"""<10","000""",Indigenous,IND,alavan
Alawites,ala-wite-s,Lebanon,85000,Levantine Arabic,Islam - Shia,34.544,36.076,1,Unengaged,Medium,Partly Free,Moderate,High,Level 3: Reconsider Travel,A001,C0015,114499,Alawite,LBN,LE,SY,,,Northern African and Middle Eastern Peoples,,0,Unengaged and Unreached,"""50","000+""",Indigenous,LBN,alaw-ites
Alawites,ala-wite-s,Türkiye,1295000,Levantine Arabic,Islam - Shia,37.1398,38.7924,1,Unengaged,Low,Not Free,High,High,Level 2: Exercise Increased Caution,A001,C0015,114499,Alawite,TUR,TU,,,,Northern African and Middle Eastern Peoples,,0,Unengaged and Unreached,"""1",000,"000+""",Indigenous,TUR,alaw-ites
Albanian,alba-nee--uh-n,Austria,23500,Tosk Albanian,Islam - Folk,48.183284,16.371204,1,Unengaged,Little,Free,Moderate,High,Level 1: Exercise Normal Precautions,A003,C0008,103338,"""Albanian"," Gheg""",AUT,AU,KV,,,European Peoples,,0,Unengaged and Unreached,"""10","000+""",Diaspora,AUT,alba-nian
Albanian,alba-nee--uh-n,Montenegro,49500,Gheg Albanian,Islam - Folk,42.440512,19.261996,1,Unengaged,Low,Partly Free,Low,Moderate,Level 1: Exercise Normal Precautions,A003,C0008,103338,"""Albanian"," Gheg""",MNE,MJ,KV,,,European Peoples,,0,Unengaged and Unreached,"""10","000+""",Diaspora,MNE,alba-nian
Albanian,alba-nee--uh-n,Switzerland,114000,Tosk Albanian,Islam - Folk,47.5475,7.6023,1,Unengaged,Little,Free,Low,High,Level 1: Exercise Normal Precautions,A003,C0008,100222,"""Albanian"," Tosk""",CHE,SZ,AL,,,European Peoples,,0,Unengaged and Unreached,"""100","000+""",Diaspora,CHE,alba-nian
